driver_ref,given_name,family_name,date_of_birth,country_id
p4teste_valido_01,Marina,AlbuquerqueTeste,2001-03-15,30
p4teste_valido_02,João Pedro,Souza-LimaTeste,1999-11-02,30
p4teste_valido_03,Érica,Monteiro Ávila Teste,2000-07-28,30
p4teste_csv_aspas,Ana,"Silva, Filho Teste",1998-04-10,30
p4teste_dup_nome_existente,Lewis,Hamilton,1985-01-07,30
hamilton,NomeRefDuplicada,SobrenomeTeste,2000-01-01,30
p4teste_dup_nome_interno_a,Caio,DuplicadoInternoTeste,2002-05-01,30
p4teste_dup_nome_interno_b,Caio,DuplicadoInternoTeste,2003-06-02,30
p4teste_dup_ref_interno,Luana,ReferenciaInternaUm,2001-08-09,30
p4teste_dup_ref_interno,Miguel,ReferenciaInternaDois,2002-09-10,30
p4teste_dup_caixa_espaco,  lewis  ,  HAMILTON  ,1985-01-07,30
p4teste_data_formato,Rafael,DataFormatoTeste,31/12/2000,30
p4teste_data_impossivel,Bianca,DataImpossivelTeste,2001-02-30,30
p4teste_data_futura,Futuro,NascimentoTeste,2030-01-01,30
p4teste_data_vazia,Carla,DataVaziaTeste,,30
p4teste_pais_inexistente,Davi,PaisInexistenteTeste,2000-10-10,999999999
p4teste_pais_zero,Elisa,PaisZeroTeste,2000-11-11,0
p4teste_pais_negativo,Fabio,PaisNegativoTeste,2000-12-12,-1
p4teste_pais_texto,Gabriela,PaisTextoTeste,2001-01-13,BR
p4teste_pais_vazio,Henrique,PaisVazioTeste,2001-02-14,
,Igor,ReferenciaVaziaTeste,2001-03-15,30
p4teste_nome_vazio,,NomeVazioTeste,2001-04-16,30
p4teste_sobrenome_vazio,Juliana,,2001-05-17,30
 p4teste_espacos_ref ,  Karina  ,  EspacosTeste  ,2001-06-18,30
p4teste_ref_muito_longa_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,Lucas,ReferenciaLongaTeste,2001-07-19,30
p4teste_nome_muito_longo,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NomeLongoTeste,2001-08-20,30
p4teste_sobrenome_muito_longo,Marcos,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS,2001-09-21,30
